1,1,"Christian McCaffrey SF, RB",Team Tendonitis
1,2,"Josh Allen Buf, QB",Hamas Rockets
1,3,"Patrick Mahomes KC, QB",Token Female
1,4,"Jalen Hurts Phi, QB",Good on Paper
1,5,"Lamar Jackson Bal, QB",LamaRB1 and the Funky Bunch
1,6,"CeeDee Lamb Dal, WR",My team name long enough Alan?
1,7,"C.J. Stroud Hou, QB",Zero Whiffs Club
1,8,"Amon-Ra St. Brown Det, WR",Bear-Force 1
1,9,"Tyreek Hill Mia, WR",PeePeePooPoo123
1,10,"Bijan Robinson Atl, RB",Team Jeff
1,11,"Breece Hall NYJ, RB",Mr. Big Chests
1,12,"Ja'Marr Chase Cin, WR",Chase Mix
2,1,"Kyler Murray Ari, QB",Chase Mix
2,2,"Justin Jefferson Min, WR",Mr. Big Chests
2,3,"A.J. Brown Phi, WR",Team Jeff
2,4,"Garrett Wilson NYJ, WR",PeePeePooPoo123
2,5,"Isiah Pacheco KC, RB",Bear-Force 1
2,6,"Jonathan Taylor Ind, RB",Zero Whiffs Club
2,7,"Joe Burrow Cin, QB",My team name long enough Alan?
2,8,"Puka Nacua LAR, WR",LamaRB1 and the Funky Bunch
2,9,"Anthony Richardson Ind, QB",Good on Paper
2,10,"Travis Etienne Jr. Jax, RB",Token Female
2,11,"Dak Prescott Dal, QB",Hamas Rockets
2,12,"Saquon Barkley Phi, RB",Team Tendonitis
3,1,"Jordan Love GB, QB",Team Tendonitis
3,2,"Cooper Kupp Sea, WR",Hamas Rockets
3,3,"Aaron Rodgers FA, QB",Token Female
3,4,"Jahmyr Gibbs Det, RB",Good on Paper
3,5,"Rachaad White TB, RB",LamaRB1 and the Funky Bunch
3,6,"Kyren Williams LAR, RB",My team name long enough Alan?
3,7,"Jayden Daniels Wsh, QB",Zero Whiffs Club
3,8,"Caleb Williams Chi, QB",Bear-Force 1
3,9,"Marvin Harrison Jr. Ari, WR",PeePeePooPoo123
3,10,"Mike Evans TB, WR",Team Jeff
3,11,"De'Von Achane Mia, RB",Mr. Big Chests
3,12,"James Cook Buf, RB",Chase Mix
4,1,"Drake London Atl, WR",Chase Mix
4,2,"Alvin Kamara NO, RB",Mr. Big Chests
4,3,"Brock Purdy SF, QB",Team Jeff
4,4,"Sam LaPorta Det, TE",PeePeePooPoo123
4,5,"Tua Tagovailoa Mia, QB",Bear-Force 1
4,6,"Derrick Henry Bal, RB",Zero Whiffs Club
4,7,"Travis Kelce KC, TE",My team name long enough Alan?
4,8,"Josh Jacobs GB, RB",LamaRB1 and the Funky Bunch
4,9,"Chris Olave NO, WR",Good on Paper
4,10,"Brandon Aiyuk SF, WR",Token Female
4,11,"Davante Adams LAR, WR",Hamas Rockets
4,12,"Trevor Lawrence Jax, QB",Team Tendonitis
5,1,"Malik Nabers NYG, WR",Team Tendonitis
5,2,"DeVonta Smith Phi, WR",Hamas Rockets
5,3,"Stefon Diggs Hou, WR",Token Female
5,4,"Michael Pittman Jr. Ind, WR",Good on Paper
