Name,Position,Projection,Team
Jalen Hurts,QB,22.5,PHI
Lamar Jackson,QB,21.7,BAL
Josh Allen,QB,20.9,BUF
Brock Purdy,QB,20.1,SF
Jayden Daniels,QB,19.3,WAS
Joe Burrow,QB,18.6,CIN
Justin Herbert,QB,18.1,LAC
Jared Goff,QB,17.6,DET
Bo Nix,QB,17.2,DEN
Russell Wilson,QB,17.0,PIT
Patrick Mahomes II,QB,16.8,KC
Jordan Love,QB,16.6,GB
C.J. Stroud,QB,16.5,HOU
Tua Tagovailoa,QB,16.4,MIA
Geno Smith,QB,16.3,SEA
Drake Maye,QB,16.1,NE
Jameis Winston,QB,15.9,CLE
Matthew Stafford,QB,15.8,LAR
Sam Darnold,QB,15.5,MIN
Aaron Rodgers,QB,15.2,NYJ
Anthony Richardson,QB,15.0,IND
Kirk Cousins,QB,14.8,ATL
Derek Carr,QB,14.3,NO
Caleb Williams,QB,13.7,CHI
Will Levis,QB,13.2,TEN
Mac Jones,QB,12.5,JAC
Gardner Minshew II,QB,11.9,LV
Cooper Rush,QB,11.3,DAL
Trey Lance,QB,0.3,DAL
Joe Flacco,QB,0.2,IND
Desmond Ridder,QB,0.2,LV
Mason Rudolph,QB,0.1,TEN
Jacoby Brissett,QB,0.1,NE
Justin Fields,QB,0.1,PIT
Malik Willis,QB,0.1,GB
Trevor Lawrence,QB,0.1,JAC
Christian McCaffrey,RB,21.5,SF
Saquon Barkley,RB,21.0,PHI
Joe Mixon,RB,19.6,HOU
Alvin Kamara,RB,18.4,NO
De'Von Achane,RB,18.3,MIA
Bijan Robinson,RB,18.2,ATL
Derrick Henry,RB,18.0,BAL
Jahmyr Gibbs,RB,17.7,DET
Kyren Williams,RB,17.6,LAR
Breece Hall,RB,17.0,NYJ
Chase Brown,RB,16.7,CIN
Jonathan Taylor,RB,16.5,IND
Josh Jacobs,RB,15.4,GB
Kenneth Walker III,RB,15.4,SEA
Kareem Hunt,RB,15.3,KC
Aaron Jones,RB,15.3,MIN
David Montgomery,RB,15.2,DET
James Cook,RB,14.7,BUF
D'Andre Swift,RB,14.6,CHI
Rhamondre Stevenson,RB,14.3,NE
J.K. Dobbins,RB,13.7,LAC
Tony Pollard,RB,13.3,TEN
Nick Chubb,RB,12.2,CLE
Travis Etienne Jr.,RB,12.0,JAC
Rico Dowdle,RB,11.9,DAL
Brian Robinson Jr.,RB,11.1,WAS
Austin Ekeler,RB,11.0,WAS
Najee Harris,RB,10.7,PIT
Audric Estime,RB,10.6,DEN
Jaylen Warren,RB,9.5,PIT
Alexander Mattison,RB,8.2,LV
Tyjae Spears,RB,7.6,TEN
Tyler Allgeier,RB,7.4,ATL
Javonte Williams,RB,6.9,DEN
Raheem Mostert,RB,6.3,MIA
Gus Edwards,RB,5.7,LAC
Justice Hill,RB,5.4,BAL
Braelon Allen,RB,5.4,NYJ
Zach Charbonnet,RB,5.3,SEA
