Name,Position,Projection,Team
Jalen Hurts,QB,22.3,PHI
Lamar Jackson,QB,21.6,BAL
Josh Allen,QB,20.8,BUF
Brock Purdy,QB,20.1,SF
Jayden Daniels,QB,19.3,WAS
Joe Burrow,QB,18.7,CIN
Justin Herbert,QB,18.2,LAC
Bo Nix,QB,17.8,DEN
Jared Goff,QB,17.3,DET
Patrick Mahomes II,QB,17.1,KC
Russell Wilson,QB,16.8,PIT
C.J. Stroud,QB,16.6,HOU
Jordan Love,QB,16.4,GB
Geno Smith,QB,16.4,SEA
Tua Tagovailoa,QB,16.2,MIA
Jameis Winston,QB,16.1,CLE
Drake Maye,QB,15.9,NE
Sam Darnold,QB,15.7,MIN
Matthew Stafford,QB,15.4,LAR
Aaron Rodgers,QB,15.2,NYJ
Anthony Richardson,QB,15.0,IND
Kirk Cousins,QB,14.7,ATL
Derek Carr,QB,14.2,NO
Caleb Williams,QB,13.7,CHI
Will Levis,QB,13.2,TEN
Gardner Minshew II,QB,12.5,LV
Mac Jones,QB,11.9,JAC
Cooper Rush,QB,11.2,DAL
Trey Lance,QB,0.3,DAL
Joe Flacco,QB,0.2,IND
Mason Rudolph,QB,0.2,TEN
Desmond Ridder,QB,0.1,LV
Justin Fields,QB,0.1,PIT
Jacoby Brissett,QB,0.1,NE
Malik Willis,QB,0.1,GB
Christian McCaffrey,RB,21.7,SF
Saquon Barkley,RB,21.6,PHI
Joe Mixon,RB,19.6,HOU
Alvin Kamara,RB,18.3,NO
De'Von Achane,RB,18.3,MIA
Bijan Robinson,RB,18.3,ATL
Jahmyr Gibbs,RB,17.9,DET
Breece Hall,RB,17.7,NYJ
Kyren Williams,RB,17.6,LAR
Derrick Henry,RB,17.0,BAL
Chase Brown,RB,17.0,CIN
Jonathan Taylor,RB,16.7,IND
Josh Jacobs,RB,15.5,GB
Kenneth Walker III,RB,15.4,SEA
Aaron Jones,RB,15.4,MIN
Kareem Hunt,RB,15.4,KC
David Montgomery,RB,15.3,DET
James Cook,RB,14.7,BUF
J.K. Dobbins,RB,14.6,LAC
D'Andre Swift,RB,14.3,CHI
Rhamondre Stevenson,RB,13.7,NE
Nick Chubb,RB,13.3,CLE
Tony Pollard,RB,12.7,TEN
Travis Etienne Jr.,RB,12.2,JAC
Rico Dowdle,RB,12.1,DAL
Austin Ekeler,RB,11.9,WAS
Brian Robinson Jr.,RB,11.1,WAS
Najee Harris,RB,10.9,PIT
Audric Estime,RB,10.3,DEN
Jaylen Warren,RB,9.5,PIT
Tyjae Spears,RB,8.7,TEN
Alexander Mattison,RB,7.6,LV
Tyler Allgeier,RB,7.3,ATL
Javonte Williams,RB,6.9,DEN
Gus Edwards,RB,6.3,LAC
Raheem Mostert,RB,5.7,MIA
Braelon Allen,RB,5.5,NYJ
Justice Hill,RB,5.5,BAL
Zach Charbonnet,RB,5.4,SEA
Jaylen Wright,RB,5.2,MIA
Roschon Johnson,RB,5.0,CHI
Cam Akers,RB,4.8,MIN
Jerome Ford,RB,4.7,CLE
Samaje Perine,RB,4.7,KC
Ray Davis,RB,4.6,BUF
Zamir White,RB,4.6,LV
Kenneth Gainwell,RB,4.4,PHI
Emanuel Wilson,RB,4.3,GB
Jaleel McLaughlin,RB,4.3,DEN
D'Ernest Johnson,RB,4.1,JAC
Ezekiel Elliott,RB,3.9,DAL
Blake Corum,RB,3.6,LAR
Antonio Gibson,RB,3.5,NE
Ty Johnson,RB,3.4,BUF
JaMycal Hasty,RB,3.2,NE
Dare Ogunbowale,RB,3.1,HOU
Khalil Herbert,RB,2.9,CIN
Jordan Mason,RB,2.8,SF
Jordan Mims,RB,2.6,NO
Cordarrelle Patterson,RB,2.3,PIT
Chris Brooks,RB,2.2,GB
Jeremy McNichols,RB,2.2,WAS
Trey Sermon,RB,2.1,IND
Ameer Abdullah,RB,2.0,LV
Tyler Goodson,RB,1.9,IND
Kyle Juszczyk,RB,1.8,SF
Carson Steele,RB,1.6,KC
Keaton Mitchell,RB,1.6,BAL
Isaac Guerendo,RB,1.5,SF
Ty Chandler,RB,1.5,MIN
Dameon Pierce,RB,1.2,HOU
Alec Ingold,RB,1.2,MIA
Pierre Strong Jr.,RB,1.0,CLE
Hunter Luepke,RB,0.9,DAL
Patrick Ricard,RB,0.8,BAL
Hassan Haskins,RB,0.6,LAC
Will Shipley,RB,0.6,PHI
C.J. Ham,RB,0.5,MIN
D'Onta Foreman,RB,0.5,CLE
Trayveon Williams,RB,0.4,CIN
Dalvin Cook,RB,0.4,DAL
Julius Chestnut,RB,0.3,TEN
Craig Reynolds,RB,0.2,DET
Adam Prentice,RB,0.2,NO
Michael Burton,RB,0.2,DEN
J.J. Taylor,RB,0.2,HOU
Avery Williams,RB,0.0,ATL
Travis Homer,RB,0.0,CHI
Isaiah Davis,RB,0.0,NYJ
Ronnie Rivers,RB,0.0,LAR
Sione Vaki,RB,0.0,DET
Deuce Vaughn,RB,0.0,DAL
Blake Watson,RB,0.0,DEN
Kenny McIntosh,RB,0.0,SEA
Keilan Robinson,RB,0.0,JAC
Terrell Jennings,RB,0.0,NE
Jonathan Ward,RB,0.0,PIT
Dylan Laube,RB,0.0,LV
Reggie Gilliam,RB,0.0,BUF
Jase McClellan,RB,0.0,ATL
Tyreik McAllister,RB,0.0,LV
Ja'Marr Chase,WR,18.9,CIN
A.J. Brown,WR,18.0,PHI
Amon-Ra St. Brown,WR,16.8,DET
Justin Jefferson,WR,16.0,MIN
Nico Collins,WR,15.9,HOU
Puka Nacua,WR,15.8,LAR
Cooper Kupp,WR,15.8,LAR
George Pickens,WR,15.7,PIT
Davante Adams,WR,15.7,NYJ
Garrett Wilson,WR,15.5,NYJ
Tyreek Hill,WR,15.4,MIA
Deebo Samuel Sr.,WR,15.4,SF
Terry McLaurin,WR,15.3,WAS
Drake London,WR,15.2,ATL
Zay Flowers,WR,15.1,BAL
CeeDee Lamb,WR,14.9,DAL
DK Metcalf,WR,14.3,SEA
Courtland Sutton,WR,14.0,DEN
Jayden Reed,WR,13.3,GB
Cedric Tillman,WR,13.2,CLE
Ladd McConkey,WR,13.2,LAC
DeAndre Hopkins,WR,13.1,KC
Calvin Ridley,WR,13.0,TEN
DeVonta Smith,WR,13.0,PHI
Khalil Shakir,WR,12.8,BUF
Jauan Jennings,WR,12.7,SF
Jakobi Meyers,WR,12.7,LV
Tee Higgins,WR,12.5,CIN
Jaxon Smith-Njigba,WR,12.3,SEA
Darnell Mooney,WR,12.2,ATL
Tank Dell,WR,11.7,HOU
Josh Downs,WR,11.5,IND
Jameson Williams,WR,11.4,DET
Jaylen Waddle,WR,11.4,MIA
Brian Thomas Jr.,WR,11.3,JAC
Jerry Jeudy,WR,10.9,CLE
Quentin Johnston,WR,10.4,LAC
