Name,Position,Projection,Team
Jalen Hurts,QB,21.8,PHI
Lamar Jackson,QB,21.7,BAL
Josh Allen,QB,20.9,BUF
Patrick Mahomes II,QB,20.4,KC
Jayden Daniels,QB,19.8,WAS
Justin Herbert,QB,19.2,LAC
Joe Burrow,QB,18.9,CIN
Baker Mayfield,QB,18.6,TB
C.J. Stroud,QB,18.4,HOU
Bo Nix,QB,18.2,DEN
Anthony Richardson,QB,18.0,IND
Sam Darnold,QB,17.7,MIN
Kyler Murray,QB,17.5,ARI
Matthew Stafford,QB,17.3,LAR
Jared Goff,QB,17.0,DET
Jordan Love,QB,16.8,GB
Drake Maye,QB,16.5,NE
Caleb Williams,QB,16.2,CHI
Tua Tagovailoa,QB,16.0,MIA
Geno Smith,QB,15.8,SEA
Russell Wilson,QB,15.6,PIT
Kirk Cousins,QB,15.5,ATL
Brock Purdy,QB,15.3,SF
Derek Carr,QB,15.2,NO
Will Levis,QB,15.1,TEN
Trevor Lawrence,QB,14.9,JAC
Bryce Young,QB,14.7,CAR
Aaron Rodgers,QB,14.4,NYJ
Jameis Winston,QB,14.2,CLE
Cooper Rush,QB,13.7,DAL
Drew Lock,QB,13.3,NYG
Aidan O'Connell,QB,12.4,LV
Brandon Allen,QB,0.8,SF
Justin Fields,QB,0.5,PIT
Desmond Ridder,QB,0.2,LV
Mac Jones,QB,0.2,JAC
Trey Lance,QB,0.2,DAL
Tyrod Taylor,QB,0.2,NYJ
Dorian Thompson-Robinson,QB,0.1,CLE
Clayton Tune,QB,0.1,ARI
Joe Mixon,RB,21.0,HOU
Alvin Kamara,RB,20.5,NO
Saquon Barkley,RB,20.0,PHI
Jahmyr Gibbs,RB,19.4,DET
Bijan Robinson,RB,18.9,ATL
Christian McCaffrey,RB,18.1,SF
De'Von Achane,RB,17.7,MIA
Chase Brown,RB,17.7,CIN
Kyren Williams,RB,17.5,LAR
Josh Jacobs,RB,16.7,GB
Derrick Henry,RB,16.6,BAL
Jonathan Taylor,RB,16.5,IND
Breece Hall,RB,16.4,NYJ
Chuba Hubbard,RB,15.6,CAR
Bucky Irving,RB,15.5,TB
Kenneth Walker III,RB,15.3,SEA
Aaron Jones,RB,15.3,MIN
James Cook,RB,15.2,BUF
David Montgomery,RB,15.2,DET
Tony Pollard,RB,14.5,TEN
Rico Dowdle,RB,14.2,DAL
James Conner,RB,14.2,ARI
Tyrone Tracy Jr.,RB,13.9,NYG
Rhamondre Stevenson,RB,13.5,NE
D'Andre Swift,RB,12.8,CHI
Brian Robinson Jr.,RB,12.8,WAS
Najee Harris,RB,12.6,PIT
Ameer Abdullah,RB,12.2,LV
Rachaad White,RB,11.2,TB
Jaylen Warren,RB,11.2,PIT
Kareem Hunt,RB,10.9,KC
Isiah Pacheco,RB,10.3,KC
Nick Chubb,RB,10.2,CLE
Travis Etienne Jr.,RB,10.0,JAC
Javonte Williams,RB,9.7,DEN
Gus Edwards,RB,9.0,LAC
Jeremy McNichols,RB,7.3,WAS
Tank Bigsby,RB,6.8,JAC
Justice Hill,RB,6.6,BAL
Tyler Allgeier,RB,6.3,ATL
Tyjae Spears,RB,6.0,TEN
Jerome Ford,RB,6.0,CLE
Devin Singletary,RB,6.0,NYG
Antonio Gibson,RB,5.9,NE
Roschon Johnson,RB,5.9,CHI
Zach Charbonnet,RB,5.7,SEA
Braelon Allen,RB,5.5,NYJ
Kimani Vidal,RB,4.9,LAC
Cam Akers,RB,4.8,MIN
Ray Davis,RB,4.7,BUF
Jaleel McLaughlin,RB,4.7,DEN
Audric Estime,RB,4.7,DEN
Jaylen Wright,RB,4.7,MIA
Emanuel Wilson,RB,4.6,GB
Trey Benson,RB,4.4,ARI
Kenneth Gainwell,RB,4.1,PHI
Raheem Mostert,RB,4.0,MIA
Sean Tucker,RB,3.9,TB
Jonathon Brooks,RB,3.6,CAR
Chris Brooks,RB,3.5,GB
Ezekiel Elliott,RB,3.5,DAL
Blake Corum,RB,3.5,LAR
Hassan Haskins,RB,3.4,LAC
Samaje Perine,RB,3.0,KC
Sincere McCormick,RB,2.8,LV
Jordan Mason,RB,2.7,SF
Dare Ogunbowale,RB,2.7,HOU
Emari Demercado,RB,2.4,ARI
JaMycal Hasty,RB,2.4,NE
Khalil Herbert,RB,2.4,CIN
Ty Johnson,RB,2.2,BUF
Cordarrelle Patterson,RB,2.2,PIT
Jamaal Williams,RB,2.2,NO
Kyle Juszczyk,RB,1.9,SF
Trey Sermon,RB,1.8,IND
Dameon Pierce,RB,1.7,HOU
Chris Rodriguez Jr.,RB,1.6,WAS
Carson Steele,RB,1.3,KC
Hunter Luepke,RB,1.3,DAL
Eric Gray,RB,1.3,NYG
Craig Reynolds,RB,1.0,DET
Julius Chestnut,RB,0.9,TEN
Tyler Goodson,RB,0.9,IND
Dylan Laube,RB,0.8,LV
Alec Ingold,RB,0.8,MIA
Patrick Ricard,RB,0.8,BAL
Pierre Strong Jr.,RB,0.7,CLE
Michael Burton,RB,0.7,DEN
Ty Chandler,RB,0.7,MIN
Isaac Guerendo,RB,0.6,SF
C.J. Ham,RB,0.5,MIN
Will Shipley,RB,0.5,PHI
Keilan Robinson,RB,0.4,JAC
Raheem Blackshear,RB,0.4,CAR
Adam Prentice,RB,0.3,NO
Sione Vaki,RB,0.2,DET
Travis Homer,RB,0.2,CHI
Ronnie Rivers,RB,0.2,LAR
J.J. Taylor,RB,0.1,HOU
Kenny McIntosh,RB,0.0,SEA
Reggie Gilliam,RB,0.0,BUF
Isaiah Davis,RB,0.0,NYJ
Dalvin Cook,RB,0.0,DAL
Kene Nwangwu,RB,0.0,NYJ
Blake Watson,RB,0.0,DEN
DeeJay Dallas,RB,0.0,ARI
Terrell Jennings,RB,0.0,NE
Avery Williams,RB,0.0,ATL
Trayveon Williams,RB,0.0,CIN
Tyreik McAllister,RB,0.0,LV
Ja'Marr Chase,WR,19.3,CIN
A.J. Brown,WR,18.2,PHI
Nico Collins,WR,17.9,HOU
Puka Nacua,WR,17.9,LAR
Justin Jefferson,WR,17.8,MIN
Cooper Kupp,WR,17.2,LAR
Amon-Ra St. Brown,WR,16.8,DET
CeeDee Lamb,WR,16.7,DAL
Drake London,WR,16.5,ATL
Mike Evans,WR,15.6,TB
Malik Nabers,WR,15.3,NYG
Courtland Sutton,WR,15.2,DEN
Ladd McConkey,WR,15.1,LAC
Tee Higgins,WR,15.0,CIN
George Pickens,WR,14.7,PIT
Tyreek Hill,WR,14.7,MIA
Garrett Wilson,WR,14.6,NYJ
Davante Adams,WR,14.4,NYJ
Jaxon Smith-Njigba,WR,14.3,SEA
Terry McLaurin,WR,14.2,WAS
Calvin Ridley,WR,14.0,TEN
Zay Flowers,WR,14.0,BAL
Brian Thomas Jr.,WR,13.8,JAC
Jayden Reed,WR,13.5,GB
DK Metcalf,WR,13.2,SEA
DJ Moore,WR,12.8,CHI
Jakobi Meyers,WR,12.8,LV
Marvin Harrison Jr.,WR,12.8,ARI
Khalil Shakir,WR,12.7,BUF
Keenan Allen,WR,12.5,CHI
Tank Dell,WR,12.3,HOU
Darnell Mooney,WR,12.3,ATL
Jameson Williams,WR,12.0,DET
Jauan Jennings,WR,12.0,SF
Jordan Addison,WR,12.0,MIN
Jaylen Waddle,WR,12.0,MIA
Michael Pittman Jr.,WR,11.7,IND
Deebo Samuel Sr.,WR,11.6,SF
Jerry Jeudy,WR,11.6,CLE
DeAndre Hopkins,WR,11.3,KC
Rome Odunze,WR,11.0,CHI
Xavier Legette,WR,10.9,CAR
Christian Watson,WR,10.6,GB
Quentin Johnston,WR,10.6,LAC
Elijah Moore,WR,10.3,CLE
Amari Cooper,WR,10.3,BUF
Wan'Dale Robinson,WR,10.3,NYG
DeMario Douglas,WR,10.2,NE
Noah Brown,WR,10.1,WAS
Xavier Worthy,WR,9.9,KC
Adam Thielen,WR,9.9,CAR
Marquez Valdes-Scantling,WR,9.7,NO
