Name,Position,Projection,Team
Jalen Hurts,QB,22.0,PHI
Lamar Jackson,QB,21.7,BAL
Jayden Daniels,QB,20.4,WAS
Justin Herbert,QB,19.6,LAC
Kyler Murray,QB,18.8,ARI
Bo Nix,QB,18.1,DEN
Patrick Mahomes II,QB,17.8,KC
Jared Goff,QB,17.6,DET
Anthony Richardson,QB,17.4,IND
Geno Smith,QB,17.2,SEA
Baker Mayfield,QB,16.9,TB
Tua Tagovailoa,QB,16.6,MIA
Jordan Love,QB,16.3,GB
C.J. Stroud,QB,16.0,HOU
Drake Maye,QB,15.7,NE
Matthew Stafford,QB,15.4,LAR
Sam Darnold,QB,15.1,MIN
Caleb Williams,QB,14.7,CHI
Russell Wilson,QB,14.3,PIT
Will Levis,QB,14.0,TEN
Tommy DeVito,QB,13.8,NYG
Jameis Winston,QB,13.7,CLE
Brandon Allen,QB,13.2,SF
Gardner Minshew II,QB,12.8,LV
Cooper Rush,QB,12.3,DAL
Bryce Young,QB,11.5,CAR
Trey Lance,QB,0.7,DAL
Justin Fields,QB,0.5,PIT
Mason Rudolph,QB,0.2,TEN
Desmond Ridder,QB,0.2,LV
Malik Willis,QB,0.2,GB
Jacoby Brissett,QB,0.1,NE
Joshua Dobbs,QB,0.1,SF
Drew Lock,QB,0.1,NYG
Joe Flacco,QB,0.1,IND
Hendon Hooker,QB,0.1,DET
Clayton Tune,QB,0.1,ARI
Christian McCaffrey,RB,18.4,SF
Saquon Barkley,RB,18.0,PHI
De'Von Achane,RB,17.4,MIA
Joe Mixon,RB,17.1,HOU
Derrick Henry,RB,16.3,BAL
Kenneth Walker III,RB,15.5,SEA
James Conner,RB,15.3,ARI
Jahmyr Gibbs,RB,15.3,DET
Kyren Williams,RB,14.9,LAR
Kareem Hunt,RB,14.7,KC
Josh Jacobs,RB,14.4,GB
David Montgomery,RB,14.3,DET
Brian Robinson Jr.,RB,13.6,WAS
Jonathan Taylor,RB,13.4,IND
Aaron Jones,RB,13.2,MIN
Tyrone Tracy Jr.,RB,12.9,NYG
Najee Harris,RB,12.8,PIT
Rhamondre Stevenson,RB,12.8,NE
Tony Pollard,RB,12.6,TEN
Chuba Hubbard,RB,12.5,CAR
Bucky Irving,RB,12.3,TB
J.K. Dobbins,RB,11.8,LAC
D'Andre Swift,RB,11.3,CHI
Rachaad White,RB,11.1,TB
Rico Dowdle,RB,10.4,DAL
Javonte Williams,RB,9.8,DEN
Austin Ekeler,RB,9.3,WAS
Nick Chubb,RB,9.1,CLE
Jaylen Warren,RB,9.1,PIT
Audric Estime,RB,8.9,DEN
Ameer Abdullah,RB,5.6,LV
Jerome Ford,RB,5.5,CLE
Cam Akers,RB,5.5,MIN
Justice Hill,RB,5.5,BAL
Roschon Johnson,RB,5.4,CHI
Trey Benson,RB,5.4,ARI
Gus Edwards,RB,5.3,LAC
Zach Charbonnet,RB,5.1,SEA
Jaylen Wright,RB,5.0,MIA
