Name,Position,Salary,Team
Jake Haener,QB,4200.00,NO
Bailey Zappe,QB,4000.00,CLE
Desmond Ridder,QB,5000.00,LV
Aidan O'Connell,QB,4000.00,LV
Sean Clifford,QB,4000.00,GB
Stetson Bennett,QB,4000.00,LAR
Michael Penix Jr.,QB,4500.00,ATL
Adrian Martinez,QB,4000.00,NYJ
Zach Wilson,QB,4000.00,DEN
Justin Fields,QB,5600.00,PIT
Trevor Lawrence,QB,5400.00,JAC
Joe Milton III,QB,4000.00,NE
Will Levis,QB,5100.00,TEN
Jason Bean,QB,4000.00,IND
Jordan Travis,QB,4000.00,NYJ
Brock Purdy,QB,6600.00,SF
Devin Leary,QB,4000.00,BAL
Austin Reed,QB,4000.00,CHI
Tanner Mordecai,QB,4000.00,SF
Carter Bradley,QB,4000.00,LV
Dorian Thompson-Robinson,QB,4400.00,CLE
Jaren Hall,QB,4000.00,SEA
Bo Nix,QB,6200.00,DEN
Sam Howell,QB,4600.00,SEA
Spencer Rattler,QB,4200.00,NO
John Rhys Plumlee,QB,4000.00,JAC
Anthony Richardson,QB,5300.00,IND
Caleb Williams,QB,5400.00,CHI
Drake Maye,QB,5600.00,NE
J.J. McCarthy,QB,4000.00,MIN
Tyson Bagent,QB,4400.00,CHI
Aaron Rodgers,QB,5500.00,NYJ
Joe Flacco,QB,5300.00,IND
Josh Johnson,QB,4500.00,BAL
Matthew Stafford,QB,5800.00,LAR
Tyrod Taylor,QB,4500.00,NYJ
Russell Wilson,QB,5900.00,PIT
Kirk Cousins,QB,6500.00,ATL
Derek Carr,QB,5200.00,NO
Geno Smith,QB,5700.00,SEA
Trevor Siemian,QB,4000.00,TEN
Jimmy Garoppolo,QB,4800.00,LAR
Brandon Allen,QB,4000.00,SF
Jacoby Brissett,QB,4700.00,NE
Carson Wentz,QB,4800.00,KC
Nathan Peterman,QB,4000.00,ATL
Jameis Winston,QB,5500.00,CLE
C.J. Beathard,QB,4000.00,JAC
Jared Goff,QB,6300.00,DET
Mitchell Trubisky,QB,4800.00,BUF
Joshua Dobbs,QB,4000.00,SF
Mike White,QB,4000.00,BUF
Nick Mullens,QB,4000.00,MIN
Kyle Allen,QB,4000.00,PIT
Mason Rudolph,QB,5100.00,TEN
Deshaun Watson,QB,4000.00,CLE
Patrick Mahomes II,QB,6800.00,KC
Jarrett Stidham,QB,4000.00,DEN
Brett Rypien,QB,4000.00,MIN
Gardner Minshew II,QB,5000.00,LV
Josh Allen,QB,7800.00,BUF
Lamar Jackson,QB,8000.00,BAL
Sam Darnold,QB,6100.00,MIN
Shane Buechele,QB,4000.00,BUF
Jordan Love,QB,7000.00,GB
Tyler Huntley,QB,4000.00,MIA
Skylar Thompson,QB,4000.00,MIA
Chris Oladokun,QB,4000.00,KC
Mac Jones,QB,4900.00,JAC
Tua Tagovailoa,QB,6000.00,MIA
Jake Fromm,QB,4000.00,DET
Sam Ehlinger,QB,4000.00,IND
Malik Willis,QB,5000.00,GB
Hendon Hooker,QB,4000.00,DET
Salvon Ahmed,RB,4000.00,IND
Owen Wright,RB,4000.00,BAL
Pierre Strong Jr.,RB,4000.00,CLE
Elijah Mitchell,RB,4000.00,SF
Aaron Shampklin,RB,4000.00,PIT
Carlos Washington Jr.,RB,4000.00,ATL
Ty Chandler,RB,4500.00,MIN
AJ Dillon,RB,4000.00,GB
Jacob Kibodi,RB,4000.00,NO
Xazavian Valladay,RB,4000.00,NO
Jonathan Taylor,RB,7600.00,IND
Zavier Scott,RB,4000.00,MIN
D'Andre Swift,RB,6600.00,CHI
Isiah Pacheco,RB,6700.00,KC
Antonio Gibson,RB,4800.00,NE
Javonte Williams,RB,5700.00,DEN
Blake Watson,RB,4000.00,DEN
Zamir White,RB,4500.00,LV
Jordan Mason,RB,5900.00,SF
Dylan Laube,RB,4000.00,LV
Tyler Badie,RB,4000.00,DEN
Jerome Ford,RB,4400.00,CLE
Julius Chestnut,RB,4200.00,TEN
Keaontay Ingram,RB,4000.00,KC
Isaac Guerendo,RB,5000.00,SF
Chris Brooks,RB,4000.00,GB
Jermar Jefferson,RB,4000.00,DET
Deneric Prince,RB,4000.00,MIA
James Cook,RB,6800.00,BUF
Tyler Allgeier,RB,5300.00,ATL
Cody Schrader,RB,4000.00,LAR
Kevin Harris,RB,4000.00,NE
Breece Hall,RB,7500.00,NYJ
Roschon Johnson,RB,4600.00,CHI
Kenneth Walker III,RB,7000.00,SEA
Zach Charbonnet,RB,5100.00,SEA
Ray Davis,RB,5400.00,BUF
Sincere McCormick,RB,4000.00,LV
Craig Reynolds,RB,4000.00,DET
Kyren Williams,RB,7900.00,LAR
Tyler Goodson,RB,4900.00,IND
Tyjae Spears,RB,4700.00,TEN
Kenny McIntosh,RB,4000.00,SEA
Keilan Robinson,RB,4000.00,JAC
Evan Hull,RB,4000.00,IND
Rhamondre Stevenson,RB,6100.00,NE
Ian Wheeler,RB,4000.00,CHI
Jaylen Warren,RB,5300.00,PIT
Terrell Jennings,RB,4000.00,NE
Jase McClellan,RB,4000.00,ATL
MarShawn Lloyd,RB,4800.00,GB
Kendre Miller,RB,4000.00,NO
Jahmyr Gibbs,RB,7300.00,DET
Israel Abanikanda,RB,4000.00,NYJ
Ellis Merriweather,RB,4000.00,GB
