Name,Position,Salary,Team,Kickoff
Jake Haener,QB,4100.00,NO,Sun 1:00PM
Bailey Zappe,QB,4000.00,CLE,Sun 1:00PM
Desmond Ridder,QB,4800.00,LV,Sun 1:00PM
Tommy DeVito,QB,4200.00,NYG,Sun 1:00PM
Aidan O'Connell,QB,4800.00,LV,Sun 1:00PM
Sean Clifford,QB,4000.00,GB,Thu 8:15PM
Stetson Bennett,QB,4000.00,LAR,Sun 4:25PM
Jack Plummer,QB,4000.00,CAR,Sun 1:00PM
Michael Penix Jr.,QB,4500.00,ATL,Sun 1:00PM
Adrian Martinez,QB,4000.00,NYJ,Sun 1:00PM
Clayton Tune,QB,4000.00,ARI,Sun 4:05PM
Justin Fields,QB,4900.00,PIT,Sun 1:00PM
Trevor Lawrence,QB,5500.00,JAC,Sun 1:00PM
Will Levis,QB,5000.00,TEN,Sun 1:00PM
Jordan Travis,QB,4000.00,NYJ,Sun 1:00PM
Brock Purdy,QB,6200.00,SF,Sun 4:25PM
Austin Reed,QB,4000.00,CHI,Sun 4:25PM
Tanner McKee,QB,4000.00,PHI,Sun 1:00PM
Tanner Mordecai,QB,4000.00,SF,Sun 4:25PM
Carter Bradley,QB,4000.00,LV,Sun 1:00PM
Dorian Thompson-Robinson,QB,4000.00,CLE,Sun 1:00PM
Trey Lance,QB,4400.00,DAL,Mon 8:15PM
Jaren Hall,QB,4000.00,SEA,Sun 4:05PM
Sam Howell,QB,4200.00,SEA,Sun 4:05PM
Spencer Rattler,QB,4000.00,NO,Sun 1:00PM
John Rhys Plumlee,QB,4000.00,SEA,Sun 4:05PM
Bryce Young,QB,5200.00,CAR,Sun 1:00PM
Michael Pratt,QB,4000.00,TB,Sun 1:00PM
Caleb Williams,QB,5600.00,CHI,Sun 4:25PM
J.J. McCarthy,QB,4000.00,MIN,Sun 1:00PM
Tyson Bagent,QB,4000.00,CHI,Sun 4:25PM
Aaron Rodgers,QB,5300.00,NYJ,Sun 1:00PM
Andy Dalton,QB,4700.00,CAR,Sun 1:00PM
Matthew Stafford,QB,5700.00,LAR,Sun 4:25PM
Tyrod Taylor,QB,4800.00,NYJ,Sun 1:00PM
Russell Wilson,QB,5900.00,PIT,Sun 1:00PM
Kirk Cousins,QB,5500.00,ATL,Sun 1:00PM
Derek Carr,QB,5100.00,NO,Sun 1:00PM
Geno Smith,QB,5800.00,SEA,Sun 4:05PM
Trevor Siemian,QB,4000.00,TEN,Sun 1:00PM
Jimmy Garoppolo,QB,4200.00,LAR,Sun 4:25PM
Dak Prescott,QB,4000.00,DAL,Mon 8:15PM
Taylor Heinicke,QB,4000.00,LAC,Sun 8:20PM
Brandon Allen,QB,4200.00,SF,Sun 4:25PM
Carson Wentz,QB,4300.00,KC,Sun 8:20PM
Nathan Peterman,QB,4000.00,ATL,Sun 1:00PM
Jameis Winston,QB,5400.00,CLE,Sun 1:00PM
C.J. Beathard,QB,4000.00,JAC,Sun 1:00PM
Cooper Rush,QB,4900.00,DAL,Mon 8:15PM
Jared Goff,QB,6500.00,DET,Thu 8:15PM
Mitchell Trubisky,QB,4100.00,BUF,Sun 4:25PM
Logan Woodside,QB,4000.00,CIN,Mon 8:15PM
Joshua Dobbs,QB,4200.00,SF,Sun 4:25PM
Tim Boyle,QB,4000.00,NYG,Sun 1:00PM
Mike White,QB,4000.00,BUF,Sun 4:25PM
Baker Mayfield,QB,6400.00,TB,Sun 1:00PM
Nick Mullens,QB,4000.00,MIN,Sun 1:00PM
Will Grier,QB,4000.00,DAL,Mon 8:15PM
Kyle Allen,QB,4000.00,PIT,Sun 1:00PM
Mason Rudolph,QB,4500.00,TEN,Sun 1:00PM
Deshaun Watson,QB,4000.00,CLE,Sun 1:00PM
Easton Stick,QB,4000.00,LAC,Sun 8:20PM
Patrick Mahomes II,QB,6800.00,KC,Sun 8:20PM
Jake Browning,QB,4300.00,CIN,Mon 8:15PM
Brett Rypien,QB,4000.00,MIN,Sun 1:00PM
Gardner Minshew II,QB,4000.00,LV,Sun 1:00PM
Josh Allen,QB,8000.00,BUF,Sun 4:25PM
Joe Burrow,QB,7300.00,CIN,Mon 8:15PM
Kyler Murray,QB,6000.00,ARI,Sun 4:05PM
Daniel Jones,QB,4600.00,MIN,Sun 1:00PM
Sam Darnold,QB,6100.00,MIN,Sun 1:00PM
Drew Lock,QB,4700.00,NYG,Sun 1:00PM
Kyle Trask,QB,4400.00,TB,Sun 1:00PM
