Name,Position,Salary,Team
Jayden Daniels,QB,9000.00,WAS
Kedon Slovis,QB,6000.00,HOU
Bo Nix,QB,8000.00,DEN
Sam Howell,QB,6000.00,SEA
John Rhys Plumlee,QB,6000.00,SEA
Gavin Hardison,QB,6000.00,MIA
Bryce Young,QB,6600.00,CAR
Anthony Richardson,QB,7500.00,IND
C.J. Stroud,QB,7600.00,HOU
Michael Pratt,QB,6000.00,TB
Andy Dalton,QB,6000.00,CAR
Trey Lance,QB,6300.00,DAL
Caleb Williams,QB,7000.00,CHI
Drake Maye,QB,6900.00,NE
J.J. McCarthy,QB,6000.00,MIN
Austin Reed,QB,6000.00,CHI
Tyson Bagent,QB,6000.00,CHI
Case Keenum,QB,6000.00,HOU
Geno Smith,QB,7400.00,SEA
Nate Sudfeld,QB,6000.00,DET
Trevor Siemian,QB,6000.00,TEN
Marcus Mariota,QB,6000.00,WAS
Jacoby Brissett,QB,6000.00,NE
Jeff Driskel,QB,6000.00,WAS
Brandon Allen,QB,6000.00,SF
Dak Prescott,QB,6000.00,DAL
Jared Goff,QB,8500.00,DET
Joshua Dobbs,QB,6000.00,SF
Tim Boyle,QB,6000.00,NYG
Baker Mayfield,QB,7900.00,TB
Nick Mullens,QB,6000.00,MIN
P.J. Walker,QB,6000.00,SEA
Cooper Rush,QB,6400.00,DAL
Will Grier,QB,6000.00,DAL
Jake Luton,QB,6000.00,CAR
Mason Rudolph,QB,6000.00,TEN
Alex McGough,QB,6000.00,GB
John Wolford,QB,6000.00,TB
Trace McSorley,QB,6000.00,WAS
Patrick Mahomes II,QB,8400.00,KC
Jarrett Stidham,QB,6000.00,DEN
Brett Rypien,QB,6000.00,MIN
Gardner Minshew II,QB,6500.00,LV
Kyler Murray,QB,7800.00,ARI
Daniel Jones,QB,7000.00,NYG
Sam Darnold,QB,7100.00,MIN
Drew Lock,QB,6000.00,NYG
Joe Flacco,QB,6200.00,IND
Jordan Love,QB,7300.00,GB
Skylar Thompson,QB,6000.00,MIA
Kyle Trask,QB,6000.00,TB
Jacob Eason,QB,6000.00,GB
Anthony Brown Jr.,QB,6000.00,ARI
Tyler Huntley,QB,6000.00,MIA
Carson Wentz,QB,6000.00,KC
Ian Book,QB,6000.00,KC
Chris Oladokun,QB,6000.00,KC
Brock Purdy,QB,8100.00,SF
Zack Annexstad,QB,6000.00,TB
Hendon Hooker,QB,6000.00,DET
Sean Clifford,QB,6000.00,GB
Will Levis,QB,6700.00,TEN
Desmond Ridder,QB,6000.00,LV
Tanner Mordecai,QB,6000.00,SF
Sam Hartman,QB,6000.00,WAS
Malik Willis,QB,6000.00,GB
Chevan Cordeiro,QB,6000.00,SEA
Matt Corral,QB,6000.00,MIN
Carter Bradley,QB,6000.00,LV
Davis Mills,QB,6000.00,HOU
Jaren Hall,QB,6000.00,SEA
Zach Wilson,QB,6000.00,DEN
Tua Tagovailoa,QB,7700.00,MIA
Clayton Tune,QB,6000.00,ARI
Joe Milton III,QB,6000.00,NE
Jake Fromm,QB,6000.00,DET
Jason Bean,QB,6000.00,IND
Sam Ehlinger,QB,6000.00,IND
Aidan O'Connell,QB,6000.00,LV
Jack Plummer,QB,6000.00,CAR
Tommy DeVito,QB,7000.00,NYG
Snoop Conner,RB,4000.00,DAL
Kevin Harris,RB,4000.00,NE
Eric Gray,RB,4300.00,NYG
D.J. Williams,RB,4000.00,TB
Austin Jones,RB,4000.00,WAS
Nathaniel Peat,RB,4000.00,DAL
Roschon Johnson,RB,6100.00,CHI
Zonovan Knight,RB,4000.00,DET
Jawhar Jordan,RB,4000.00,HOU
