Name,Position,Salary,Team,Kickoff
Max Duggan,QB,6000.00,LAC,Sun 8:20PM
Easton Stick,QB,6000.00,LAC,Sun 8:20PM
Sam Howell,QB,6000.00,SEA,Sun 4:05PM
Spencer Rattler,QB,6000.00,NO,Sun 1:00PM
John Rhys Plumlee,QB,6000.00,SEA,Sun 4:05PM
Gavin Hardison,QB,6000.00,MIA,Sun 1:00PM
Bryce Young,QB,7000.00,CAR,Sun 1:00PM
Michael Pratt,QB,6000.00,TB,Sun 1:00PM
Bailey Zappe,QB,6000.00,CLE,Sun 1:00PM
Andy Dalton,QB,6000.00,CAR,Sun 1:00PM
Tyrod Taylor,QB,6000.00,NYJ,Sun 1:00PM
Trey Lance,QB,6000.00,DAL,Mon 8:15PM
Caleb Williams,QB,7300.00,CHI,Sun 4:25PM
J.J. McCarthy,QB,6000.00,MIN,Sun 1:00PM
Austin Reed,QB,6000.00,CHI,Sun 4:25PM
Dresser Winn,QB,6000.00,LAR,Sun 4:25PM
Tyson Bagent,QB,6000.00,CHI,Sun 4:25PM
Casey Bauman,QB,6000.00,LAC,Sun 8:20PM
Peewee Jarrett,QB,6000.00,NYJ,Sun 1:00PM
Russell Wilson,QB,7700.00,PIT,Sun 1:00PM
Kirk Cousins,QB,7000.00,ATL,Sun 1:00PM
Jameis Winston,QB,6900.00,CLE,Sun 1:00PM
Geno Smith,QB,7400.00,SEA,Sun 4:05PM
Nate Sudfeld,QB,6000.00,DET,Thu 8:15PM
C.J. Beathard,QB,6000.00,JAC,Sun 1:00PM
Trevor Siemian,QB,6000.00,TEN,Sun 1:00PM
Nathan Peterman,QB,6000.00,ATL,Sun 1:00PM
Brandon Allen,QB,6000.00,SF,Sun 4:25PM
Dak Prescott,QB,6000.00,DAL,Mon 8:15PM
Jared Goff,QB,8200.00,DET,Thu 8:15PM
Mitchell Trubisky,QB,6000.00,BUF,Sun 4:25PM
Joshua Dobbs,QB,6000.00,SF,Sun 4:25PM
Tim Boyle,QB,6000.00,NYG,Sun 1:00PM
Mike White,QB,6000.00,BUF,Sun 4:25PM
Baker Mayfield,QB,8100.00,TB,Sun 1:00PM
Nick Mullens,QB,6000.00,MIN,Sun 1:00PM
P.J. Walker,QB,6000.00,SEA,Sun 4:05PM
Cooper Rush,QB,6800.00,DAL,Mon 8:15PM
Logan Woodside,QB,6000.00,CIN,Mon 8:15PM
Derek Carr,QB,7100.00,NO,Sun 1:00PM
Will Grier,QB,6000.00,DAL,Mon 8:15PM
Jake Luton,QB,6000.00,CAR,Sun 1:00PM
Kyle Allen,QB,6000.00,PIT,Sun 1:00PM
Taylor Heinicke,QB,6000.00,LAC,Sun 8:20PM
Mason Rudolph,QB,6000.00,TEN,Sun 1:00PM
Alex McGough,QB,6000.00,GB,Thu 8:15PM
Jimmy Garoppolo,QB,6000.00,LAR,Sun 4:25PM
Deshaun Watson,QB,6000.00,CLE,Sun 1:00PM
John Wolford,QB,6000.00,JAC,Sun 1:00PM
Patrick Mahomes II,QB,7900.00,KC,Sun 8:20PM
Jake Browning,QB,6000.00,CIN,Mon 8:15PM
Brett Rypien,QB,6000.00,MIN,Sun 1:00PM
Gardner Minshew II,QB,6000.00,LV,Sun 1:00PM
Josh Allen,QB,8900.00,BUF,Sun 4:25PM
Joe Burrow,QB,8400.00,CIN,Mon 8:15PM
Ben DiNucci,QB,6000.00,BUF,Sun 4:25PM
Kyler Murray,QB,7800.00,ARI,Sun 4:05PM
Daniel Jones,QB,6000.00,MIN,Sun 1:00PM
Sam Darnold,QB,7600.00,MIN,Sun 1:00PM
Drew Lock,QB,6500.00,NYG,Sun 1:00PM
Matthew Stafford,QB,7200.00,LAR,Sun 4:25PM
Aaron Rodgers,QB,6800.00,NYJ,Sun 1:00PM
Jordan Love,QB,7400.00,GB,Thu 8:15PM
Justin Herbert,QB,7500.00,LAC,Sun 8:20PM
Skylar Thompson,QB,6000.00,MIA,Sun 1:00PM
Kyle Trask,QB,6000.00,TB,Sun 1:00PM
Jacob Eason,QB,6000.00,GB,Thu 8:15PM
Jalen Hurts,QB,9200.00,PHI,Sun 1:00PM
Anthony Brown Jr.,QB,6000.00,ARI,Sun 4:05PM
