Name,Position_x,Projection,Team_x,Position_y,Salary,Team_y,Kickoff
Josh Allen,QB,22.6,BUF,QB,8900.0,BUF,Sun 4:25PM
Jalen Hurts,QB,21.9,PHI,QB,9200.0,PHI,Sun 1:00PM
Sam Darnold,QB,19.5,MIN,QB,7600.0,MIN,Sun 1:00PM
Baker Mayfield,QB,18.6,TB,QB,8100.0,TB,Sun 1:00PM
Kyler Murray,QB,17.9,ARI,QB,7800.0,ARI,Sun 4:05PM
Patrick Mahomes II,QB,17.7,KC,QB,7900.0,KC,Sun 8:20PM
Tua Tagovailoa,QB,17.2,MIA,QB,8300.0,MIA,Sun 1:00PM
Brock Purdy,QB,16.7,SF,QB,8000.0,SF,Sun 4:25PM
Caleb Williams,QB,16.5,CHI,QB,7300.0,CHI,Sun 4:25PM
Justin Herbert,QB,16.4,LAC,QB,7500.0,LAC,Sun 8:20PM
Russell Wilson,QB,16.2,PIT,QB,7700.0,PIT,Sun 1:00PM
Geno Smith,QB,16.2,SEA,QB,7400.0,SEA,Sun 4:05PM
Will Levis,QB,15.9,TEN,QB,6600.0,TEN,Sun 1:00PM
Matthew Stafford,QB,15.7,LAR,QB,7200.0,LAR,Sun 4:25PM
Jameis Winston,QB,15.4,CLE,QB,6900.0,CLE,Sun 1:00PM
Aidan O'Connell,QB,14.7,LV,QB,6700.0,LV,Sun 1:00PM
Kirk Cousins,QB,14.4,ATL,QB,7000.0,ATL,Sun 1:00PM
Derek Carr,QB,14.1,NO,QB,7100.0,NO,Sun 1:00PM
Aaron Rodgers,QB,13.7,NYJ,QB,6800.0,NYJ,Sun 1:00PM
Mac Jones,QB,13.4,JAC,QB,6700.0,JAC,Sun 1:00PM
Bryce Young,QB,13.0,CAR,QB,7000.0,CAR,Sun 1:00PM
Drew Lock,QB,12.4,NYG,QB,6500.0,NYG,Sun 1:00PM
Justin Fields,QB,0.8,PIT,QB,6000.0,PIT,Sun 1:00PM
